left,bottom,right
0.0291,0.9709,0
0.2078,0.5135,0.2787
0.2919,0.3346,0.3736
0.3508,0.2481,0.4011
0.4375,0.1512,0.4113
0.4836,0.1134,0.403
0.5333,0.0774,0.3893
0.5791,0.0456,0.3753
0.6167,0.0274,0.3559
0.6552,0.0152,0.3296
0.7197,0.0058,0.2745
0.7713,0.0027,0.226
0.8048,0.0014,0.1938
0.8471,0.0007,0.1523
0.8935,0.0004,0.1061
0.941,0.0002,0.0588
0.97,0.0003,0.0298
0.9999,0.0001,0
